# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/mike/EAGLE/projects/SDMAC-Replacement/Quartus/RESDMAC.csv
# Generated on: Fri Dec 30 22:01:36 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Live I/O Check Error,Differential Pair
ADDR[6],Input,PIN_27,1,B1_N1,PIN_27,,,,,
ADDR[5],Input,PIN_26,1,B1_N1,PIN_26,,,,,
ADDR[4],Input,PIN_30,1,B1_N1,PIN_30,,,,,
ADDR[3],Input,PIN_22,1,B1_N1,PIN_22,,,,,
ADDR[2],Input,PIN_21,1,B1_N1,PIN_21,,,,,
DATA[31],Bidir,PIN_103,3,B3_N0,PIN_103,,,,,
DATA[30],Bidir,PIN_101,3,B3_N0,PIN_101,,,,,
DATA[29],Bidir,PIN_100,3,B3_N0,PIN_100,,,,,
DATA[28],Bidir,PIN_97,3,B3_N0,PIN_97,,,,,
DATA[27],Bidir,PIN_87,3,B3_N1,PIN_87,,,,,
DATA[26],Bidir,PIN_96,3,B3_N0,PIN_96,,,,,
DATA[25],Bidir,PIN_86,3,B3_N1,PIN_86,,,,,
DATA[24],Bidir,PIN_94,3,B3_N0,PIN_94,,,,,
DATA[23],Bidir,PIN_81,3,B3_N1,PIN_81,,,,,
DATA[22],Bidir,PIN_93,3,B3_N0,PIN_93,,,,,
DATA[21],Bidir,PIN_80,3,B3_N1,PIN_80,,,,,
DATA[20],Bidir,PIN_92,3,B3_N0,PIN_92,,,,,
DATA[19],Bidir,PIN_75,3,B3_N1,PIN_75,,,,,
DATA[18],Bidir,PIN_74,3,B3_N1,PIN_74,,,,,
DATA[17],Bidir,PIN_73,3,B3_N1,PIN_73,,,,,
DATA[16],Bidir,PIN_132,2,B2_N1,PIN_132,,,,,
DATA[15],Bidir,PIN_120,2,B2_N0,PIN_120,,,,,
DATA[14],Bidir,PIN_144,2,B2_N1,PIN_144,,,,,
DATA[13],Bidir,PIN_143,2,B2_N1,PIN_143,,,,,
DATA[12],Bidir,PIN_126,2,B2_N0,PIN_126,,,,,
DATA[11],Bidir,PIN_142,2,B2_N1,PIN_142,,,,,
DATA[10],Bidir,PIN_125,2,B2_N0,PIN_125,,,,,
DATA[9],Bidir,PIN_141,2,B2_N1,PIN_141,,,,,
DATA[8],Bidir,PIN_122,2,B2_N0,PIN_122,,,,,
DATA[7],Bidir,PIN_139,2,B2_N1,PIN_139,,,,,
DATA[6],Bidir,PIN_121,2,B2_N0,PIN_121,,,,,
DATA[5],Bidir,PIN_137,2,B2_N1,PIN_137,,,,,
DATA[4],Bidir,PIN_119,2,B2_N0,PIN_119,,,,,
DATA[3],Bidir,PIN_136,2,B2_N1,PIN_136,,,,,
DATA[2],Bidir,PIN_118,2,B2_N0,PIN_118,,,,,
DATA[1],Bidir,PIN_135,2,B2_N1,PIN_135,,,,,
DATA[0],Bidir,PIN_115,2,B2_N0,PIN_115,,,,,
DATA_OE_,Output,PIN_69,4,B4_N0,PIN_69,,,,,
INTA,Input,PIN_31,1,B1_N1,PIN_31,,,,,
OWN_,Output,PIN_45,4,B4_N1,PIN_45,,,,,
PD_PORT[7],Bidir,PIN_25,1,B1_N1,PIN_25,,,,,
PD_PORT[6],Bidir,PIN_51,4,B4_N1,PIN_51,,,,,
PD_PORT[5],Bidir,PIN_24,1,B1_N1,PIN_24,,,,,
PD_PORT[4],Bidir,PIN_8,1,B1_N0,PIN_8,,,,,
PD_PORT[3],Bidir,PIN_4,1,B1_N0,PIN_4,,,,,
PD_PORT[2],Bidir,PIN_47,4,B4_N1,PIN_47,,,,,
PD_PORT[1],Bidir,PIN_99,3,B3_N0,PIN_99,,,,,
PD_PORT[0],Bidir,PIN_79,3,B3_N1,PIN_79,,,,,
R_W,Bidir,PIN_129,2,B2_N1,PIN_129,,,,,
SCLK,Input,PIN_90,3,B3_N0,PIN_90,,,,,
SIZ1,Bidir,PIN_112,2,B2_N0,PIN_112,,,,,
_AS,Bidir,PIN_113,2,B2_N0,PIN_113,,,,,
_BERR,Input,PIN_32,1,B1_N1,PIN_32,,,,,
_BG,Input,PIN_88,3,B3_N1,PIN_88,,,,,
_BGACK,Bidir,PIN_104,3,B3_N0,PIN_104,,,,,
_BR,Output,PIN_59,4,B4_N0,PIN_59,,,,,
_CS,Input,PIN_18,1,B1_N0,PIN_18,,,,,
_CSS,Output,PIN_43,4,B4_N1,PIN_43,,,,,
_DACK,Output,PIN_60,4,B4_N0,PIN_60,,,,,
_DMAEN,Output,PIN_41,4,B4_N1,PIN_41,,,,,
_DREQ,Input,PIN_89,3,B3_N1,PIN_89,,,,,
_DS,Bidir,PIN_133,2,B2_N1,PIN_133,,,,,
_DSACK[1],Bidir,PIN_134,2,B2_N1,PIN_134,,,,,
_DSACK[0],Bidir,PIN_114,2,B2_N0,PIN_114,,,,,
_INT,Output,PIN_40,4,B4_N1,PIN_40,,,,,
_IOR,Output,PIN_42,4,B4_N1,PIN_42,,,,,
_IOW,Output,PIN_64,4,B4_N0,PIN_64,,,,,
_LED_DMA,Output,PIN_3,1,B1_N0,PIN_3,,,,,
_LED_RD,Output,PIN_7,1,B1_N0,PIN_7,,,,,
_LED_WR,Output,PIN_9,1,B1_N0,PIN_9,,,,,
_RST,Input,PIN_28,1,B1_N1,PIN_28,,,,,
_STERM,Input,PIN_48,4,B4_N1,PIN_48,,,,,
