Project: RESDMAC
Revision: RESDMAC
Flow Start Date: Sat Feb 18 20:41:28 GMT 2023
Flow End Date: Sat Feb 18 20:44:05 GMT 2023

Detailed Results
Point,base-slow,base-fast,1-slow,1-fast (Best),2-slow,2-fast,3-slow,3-fast,4-slow,4-fast,5-slow,5-fast,6-slow,6-fast,7-slow,7-fast,8-slow,8-fast
All Failing Paths,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0,>0
Clock Hold: 'n/a': Per-clock Edge TNS,-287.791 ns,-330.292 ns,-284.947 ns,-329.563 ns,-289.234 ns,-330.498 ns,-288.282 ns,-330.371 ns,-289.269 ns,-330.519 ns,-288.993 ns,-330.406 ns,-287.002 ns,-330.066 ns,-289.247 ns,-330.503 ns,-288.077 ns,-330.441 ns
Clock Hold: 'n/a': Per-clock Keeper TNS,-32.015 ns,-36.716 ns,-31.699 ns,-36.635 ns,-32.160 ns,-36.724 ns,-32.038 ns,-36.719 ns,-32.161 ns,-36.725 ns,-32.125 ns,-36.718 ns,-31.902 ns,-36.678 ns,-32.157 ns,-36.723 ns,-32.041 ns,-36.729 ns
Clock Hold: 'n/a': Worst-case Slack,-32.015 ns,-36.716 ns,-31.699 ns,-36.635 ns,-32.160 ns,-36.724 ns,-32.038 ns,-36.719 ns,-32.161 ns,-36.725 ns,-32.125 ns,-36.718 ns,-31.902 ns,-36.678 ns,-32.157 ns,-36.723 ns,-32.041 ns,-36.729 ns
Clock Hold: 'sclk': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'sclk': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'sclk': Worst-case Slack,28.180 ns,28.985 ns,27.648 ns,28.773 ns,27.735 ns,28.806 ns,28.200 ns,28.973 ns,27.665 ns,28.809 ns,27.137 ns,28.568 ns,27.943 ns,28.890 ns,27.494 ns,28.696 ns,28.444 ns,29.037 ns
Clock Hold: 'u_PLL|APLL_inst|altpll_component|pll|clk[0]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'u_PLL|APLL_inst|altpll_component|pll|clk[0]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'u_PLL|APLL_inst|altpll_component|pll|clk[0]': Worst-case Slack,0.499 ns,0.215 ns,0.499 ns,0.215 ns,0.499 ns,0.215 ns,0.499 ns,0.215 ns,0.499 ns,0.215 ns,0.499 ns,0.215 ns,0.499 ns,0.215 ns,0.499 ns,0.215 ns,0.499 ns,0.215 ns
